Iterations,Accuracy (%),Attack,Aggregator,Optimizer,seed,LR
360,94.95192307692308,mimic,CM,Baseline,0,0.005
390,94.8818108974359,mimic,CM,Baseline,0,0.005
420,95.46274038461539,mimic,CM,Baseline,0,0.005
450,95.18229166666667,mimic,CM,Baseline,0,0.005
480,95.63301282051282,mimic,CM,Baseline,0,0.005
510,96.0136217948718,mimic,CM,Baseline,0,0.005
540,95.67307692307692,mimic,CM,Baseline,0,0.005
570,96.10376602564102,mimic,CM,Baseline,0,0.005
600,95.93349358974359,mimic,CM,Baseline,0,0.005
630,96.29407051282051,mimic,CM,Baseline,0,0.005
660,96.38421474358974,mimic,CM,Baseline,0,0.005
690,96.53445512820512,mimic,CM,Baseline,0,0.005
720,96.6045673076923,mimic,CM,Baseline,0,0.005
750,96.49439102564102,mimic,CM,Baseline,0,0.005
780,96.6045673076923,mimic,CM,Baseline,0,0.005
810,96.90504807692308,mimic,CM,Baseline,0,0.005
840,96.85496794871794,mimic,CM,Baseline,0,0.005
870,97.1454326923077,mimic,CM,Baseline,0,0.005
900,96.9150641025641,mimic,CM,Baseline,0,0.005
930,97.20552884615384,mimic,CM,Baseline,0,0.005
960,97.27564102564102,mimic,CM,Baseline,0,0.005
990,97.00520833333333,mimic,CM,Baseline,0,0.005
1020,97.23557692307692,mimic,CM,Baseline,0,0.005
1050,97.04527243589743,mimic,CM,Baseline,0,0.005
1080,97.42588141025641,mimic,CM,Baseline,0,0.005
1110,97.33573717948718,mimic,CM,Baseline,0,0.005
1140,97.49599358974359,mimic,CM,Baseline,0,0.005
1170,97.50600961538461,mimic,CM,Baseline,0,0.005
1200,97.64623397435898,mimic,CM,Baseline,0,0.005
1230,97.55608974358974,mimic,CM,Baseline,0,0.005
1260,97.39583333333333,mimic,CM,Baseline,0,0.005
1290,97.29567307692308,mimic,CM,Baseline,0,0.005
1320,97.66626602564102,mimic,CM,Baseline,0,0.005
1350,97.65625,mimic,CM,Baseline,0,0.005
1380,97.83653846153847,mimic,CM,Baseline,0,0.005
1410,97.88661858974359,mimic,CM,Baseline,0,0.005
1440,97.6963141025641,mimic,CM,Baseline,0,0.005
1470,97.89663461538461,mimic,CM,Baseline,0,0.005
1500,97.9667467948718,mimic,CM,Baseline,0,0.005
30,40.9755608974359,BF,CM,Baseline,0,0.001
60,65.51482371794872,BF,CM,Baseline,0,0.001
90,64.62339743589743,BF,CM,Baseline,0,0.001
120,74.30889423076923,BF,CM,Baseline,0,0.001
150,71.4443108974359,BF,CM,Baseline,0,0.001
180,77.52403846153847,BF,CM,Baseline,0,0.001
210,78.09495192307692,BF,CM,Baseline,0,0.001
240,79.27684294871794,BF,CM,Baseline,0,0.001
270,79.81770833333333,BF,CM,Baseline,0,0.001
300,80.41866987179488,BF,CM,Baseline,0,0.001
330,80.67908653846153,BF,CM,Baseline,0,0.001
360,81.08974358974359,BF,CM,Baseline,0,0.001
390,81.2099358974359,BF,CM,Baseline,0,0.001
420,81.59054487179488,BF,CM,Baseline,0,0.001
450,81.85096153846153,BF,CM,Baseline,0,0.001
480,82.08133012820512,BF,CM,Baseline,0,0.001
510,82.71233974358974,BF,CM,Baseline,0,0.001
540,82.74238782051282,BF,CM,Baseline,0,0.001
570,82.45192307692308,BF,CM,Baseline,0,0.001
600,82.7323717948718,BF,CM,Baseline,0,0.001
630,83.27323717948718,BF,CM,Baseline,0,0.001
660,83.60376602564102,BF,CM,Baseline,0,0.001
690,83.5136217948718,BF,CM,Baseline,0,0.001
720,83.9042467948718,BF,CM,Baseline,0,0.001
750,83.82411858974359,BF,CM,Baseline,0,0.001
780,84.0244391025641,BF,CM,Baseline,0,0.001
810,84.26482371794872,BF,CM,Baseline,0,0.001
840,83.85416666666667,BF,CM,Baseline,0,0.001
870,84.15464743589743,BF,CM,Baseline,0,0.001
900,84.31490384615384,BF,CM,Baseline,0,0.001
930,84.67548076923077,BF,CM,Baseline,0,0.001
960,84.86578525641026,BF,CM,Baseline,0,0.001
990,84.99599358974359,BF,CM,Baseline,0,0.001
1020,85.09615384615384,BF,CM,Baseline,0,0.001
1050,84.79567307692308,BF,CM,Baseline,0,0.001
1080,84.83573717948718,BF,CM,Baseline,0,0.001
1110,84.57532051282051,BF,CM,Baseline,0,0.001
1140,84.57532051282051,BF,CM,Baseline,0,0.001
1170,84.86578525641026,BF,CM,Baseline,0,0.001
1200,85.31650641025641,BF,CM,Baseline,0,0.001
1230,85.79727564102564,BF,CM,Baseline,0,0.001
1260,81.81089743589743,BF,CM,Baseline,0,0.001
1290,78.40544871794872,BF,CM,Baseline,0,0.001
1320,84.12459935897436,BF,CM,Baseline,0,0.001
1350,84.90584935897436,BF,CM,Baseline,0,0.001
1380,83.02283653846153,BF,CM,Baseline,0,0.001
1410,78.45552884615384,BF,CM,Baseline,0,0.001
1440,73.62780448717949,BF,CM,Baseline,0,0.001
1470,81.05969551282051,BF,CM,Baseline,0,0.001
1500,84.4951923076923,BF,CM,Baseline,0,0.001
30,64.08253205128206,mimic,RFA,Baseline,0,0.005
60,85.59695512820512,mimic,RFA,Baseline,0,0.005
90,87.96073717948718,mimic,RFA,Baseline,0,0.005
120,90.24439102564102,mimic,RFA,Baseline,0,0.005
150,91.0957532051282,mimic,RFA,Baseline,0,0.005
180,92.16746794871794,mimic,RFA,Baseline,0,0.005
210,92.54807692307692,mimic,RFA,Baseline,0,0.005
240,92.63822115384616,mimic,RFA,Baseline,0,0.005
270,93.78004807692308,mimic,RFA,Baseline,0,0.005
300,93.81009615384616,mimic,RFA,Baseline,0,0.005
330,94.6113782051282,mimic,RFA,Baseline,0,0.005
360,94.91185897435898,mimic,RFA,Baseline,0,0.005
390,94.87179487179488,mimic,RFA,Baseline,0,0.005
420,95.50280448717949,mimic,RFA,Baseline,0,0.005
450,95.3525641025641,mimic,RFA,Baseline,0,0.005
480,95.60296474358974,mimic,RFA,Baseline,0,0.005
510,95.99358974358974,mimic,RFA,Baseline,0,0.005
540,95.61298076923077,mimic,RFA,Baseline,0,0.005
570,96.08373397435898,mimic,RFA,Baseline,0,0.005
600,95.87339743589743,mimic,RFA,Baseline,0,0.005
630,96.29407051282051,mimic,RFA,Baseline,0,0.005
660,96.30408653846153,mimic,RFA,Baseline,0,0.005
690,96.5244391025641,mimic,RFA,Baseline,0,0.005
720,96.64463141025641,mimic,RFA,Baseline,0,0.005
750,96.46434294871794,mimic,RFA,Baseline,0,0.005
780,96.66466346153847,mimic,RFA,Baseline,0,0.005
810,96.90504807692308,mimic,RFA,Baseline,0,0.005
840,96.875,mimic,RFA,Baseline,0,0.005
870,97.08533653846153,mimic,RFA,Baseline,0,0.005
900,96.875,mimic,RFA,Baseline,0,0.005
930,97.15544871794872,mimic,RFA,Baseline,0,0.005
960,97.32572115384616,mimic,RFA,Baseline,0,0.005
990,96.9551282051282,mimic,RFA,Baseline,0,0.005
1020,97.12540064102564,mimic,RFA,Baseline,0,0.005
1050,97.04527243589743,mimic,RFA,Baseline,0,0.005
1080,97.42588141025641,mimic,RFA,Baseline,0,0.005
1110,97.29567307692308,mimic,RFA,Baseline,0,0.005
1140,97.41586538461539,mimic,RFA,Baseline,0,0.005
1170,97.46594551282051,mimic,RFA,Baseline,0,0.005
1200,97.58613782051282,mimic,RFA,Baseline,0,0.005
1230,97.5761217948718,mimic,RFA,Baseline,0,0.005
1260,97.37580128205128,mimic,RFA,Baseline,0,0.005
1290,97.3056891025641,mimic,RFA,Baseline,0,0.005
1320,97.63621794871794,mimic,RFA,Baseline,0,0.005
1350,97.58613782051282,mimic,RFA,Baseline,0,0.005
1380,97.80649038461539,mimic,RFA,Baseline,0,0.005
1410,97.89663461538461,mimic,RFA,Baseline,0,0.005
1440,97.76642628205128,mimic,RFA,Baseline,0,0.005
1470,97.9266826923077,mimic,RFA,Baseline,0,0.005
1500,98.046875,mimic,RFA,Baseline,0,0.005
30,65.51482371794872,mimic,KRUM,Baseline,0,0.005
60,85.53685897435898,mimic,KRUM,Baseline,0,0.005
90,87.61017628205128,mimic,KRUM,Baseline,0,0.005
