Iterations,Accuracy (%),Attack,Aggregator,Momentum,LR,seed
120,70.21233974358974,BF,RFA,0.7,0.05,0
150,74.28886217948718,BF,RFA,0.7,0.05,0
180,72.62620192307692,BF,RFA,0.7,0.05,0
210,73.60777243589743,BF,RFA,0.7,0.05,0
240,74.77964743589743,BF,RFA,0.7,0.05,0
270,76.12179487179488,BF,RFA,0.7,0.05,0
300,76.53245192307692,BF,RFA,0.7,0.05,0
330,77.28365384615384,BF,RFA,0.7,0.05,0
360,77.70432692307692,BF,RFA,0.7,0.05,0
390,78.09495192307692,BF,RFA,0.7,0.05,0
420,78.31530448717949,BF,RFA,0.7,0.05,0
450,78.67588141025641,BF,RFA,0.7,0.05,0
480,79.01642628205128,BF,RFA,0.7,0.05,0
510,79.43709935897436,BF,RFA,0.7,0.05,0
540,79.73758012820512,BF,RFA,0.7,0.05,0
570,79.6474358974359,BF,RFA,0.7,0.05,0
600,79.89783653846153,BF,RFA,0.7,0.05,0
30,62.15945512820513,BF,RFA,0.99,0.1,256
60,80.44871794871794,BF,RFA,0.99,0.1,256
90,71.62459935897436,BF,RFA,0.99,0.1,256
120,77.59415064102564,BF,RFA,0.99,0.1,256
150,70.75320512820512,BF,RFA,0.99,0.1,256
180,69.53125,BF,RFA,0.99,0.1,256
210,76.42227564102564,BF,RFA,0.99,0.1,256
240,78.8261217948718,BF,RFA,0.99,0.1,256
270,80.60897435897436,BF,RFA,0.99,0.1,256
300,78.2451923076923,BF,RFA,0.99,0.1,256
330,79.69751602564102,BF,RFA,0.99,0.1,256
360,82.94270833333333,BF,RFA,0.99,0.1,256
390,83.18309294871794,BF,RFA,0.99,0.1,256
420,81.35016025641026,BF,RFA,0.99,0.1,256
450,82.5420673076923,BF,RFA,0.99,0.1,256
480,84.30488782051282,BF,RFA,0.99,0.1,256
510,84.16466346153847,BF,RFA,0.99,0.1,256
540,83.82411858974359,BF,RFA,0.99,0.1,256
570,84.61538461538461,BF,RFA,0.99,0.1,256
600,85.06610576923077,BF,RFA,0.99,0.1,256
30,75.41065705128206,BF,RFA,0.3,0.5,42
60,68.49959935897436,BF,RFA,0.3,0.5,42
90,75.79126602564102,BF,RFA,0.3,0.5,42
120,73.66786858974359,BF,RFA,0.3,0.5,42
150,68.26923076923077,BF,RFA,0.3,0.5,42
180,70.07211538461539,BF,RFA,0.3,0.5,42
